year,mes,semana,valor
2003,1,1,0
2003,1,2,5
2003,1,3,2
2003,1,4,6
2003,2,1,7
2003,2,2,4
2003,2,3,84
2003,2,4,7
2003,3,1,12
2003,3,2,4
2003,3,3,11
2003,3,4,3
2003,4,1,15
2003,4,2,8
2003,4,3,5
2003,4,4,4
2003,5,1,2
2003,5,2,10
2003,5,3,2
2003,5,4,11
2003,6,1,8
2003,6,2,9
2003,6,3,7
2003,6,4,2
2003,7,1,5
2003,7,2,17
2003,7,3,16
2003,7,4,6
2003,8,1,19
2003,8,2,30
2003,8,3,12
2003,8,4,36
2003,9,1,5
2003,9,2,12
2003,9,3,44
2003,9,4,13
2003,10,1,15
2003,10,2,9
2003,10,3,9
2003,10,4,10
2003,11,1,7
2003,11,2,11
2003,11,3,7
2003,11,4,0
2003,12,1,44
2003,12,2,12
2003,12,3,4
2003,12,4,2
2004,1,1,10
2004,1,2,7
2004,1,3,6
2004,1,4,43
2004,2,1,13
2004,2,2,8
2004,2,3,2
2004,2,4,6
2004,3,1,7
2004,3,2,4
2004,3,3,11
2004,3,4,4
2004,4,1,1
2004,4,2,4
2004,4,3,2
2004,4,4,4
2004,5,1,9
2004,5,2,9
2004,5,3,13
2004,5,4,11
2004,6,1,5
2004,6,2,11
2004,6,3,22
2004,6,4,7
2004,7,1,10
2004,7,2,11
2004,7,3,7
2004,7,4,12
2004,8,1,55
2004,8,2,30
2004,8,3,11
2004,8,4,26
2004,9,1,487
2004,9,2,24
2004,9,3,17
2004,9,4,193
2004,10,1,10
2004,10,2,1
2004,10,3,11
2004,10,4,12
2004,11,1,15
2004,11,2,10
2004,11,3,7
2004,11,4,4
2004,12,1,9
2004,12,2,5
2004,12,3,13
2004,12,4,16
2005,1,1,6
2005,1,2,5
2005,1,3,65
2005,1,4,38
2005,2,1,11
2005,2,2,10
2005,2,3,10
2005,2,4,11
2005,3,1,8
2005,3,2,17
2005,3,3,15
2005,3,4,5
2005,4,1,6
2005,4,2,13
2005,4,3,6
2005,4,4,8
2005,5,1,10
2005,5,2,5
2005,5,3,8
2005,5,4,5
2005,6,1,6
2005,6,2,14
2005,6,3,29
2005,6,4,15
2005,7,1,14
2005,7,2,25
2005,7,3,12
2005,7,4,12
2005,8,1,17
2005,8,2,21
2005,8,3,15
2005,8,4,194
2005,9,1,29
2005,9,2,19
2005,9,3,132
2005,9,4,19
2005,10,1,24
2005,10,2,17
2005,10,3,14
2005,10,4,518
2005,11,1,4
2005,11,2,5
2005,11,3,9
2005,11,4,0
2005,12,1,18
2005,12,2,27
2005,12,3,2
2005,12,4,10
2006,1,1,3
2006,1,2,4
2006,1,3,15
2006,1,4,7
2006,2,1,10
2006,2,2,70
2006,2,3,12
2006,2,4,0
2006,3,1,5
2006,3,2,7
2006,3,3,3
2006,3,4,2
2006,4,1,6
2006,4,2,4
2006,4,3,4
2006,4,4,5
2006,5,1,12
2006,5,2,21
2006,5,3,7
2006,5,4,15
2006,6,1,15
2006,6,2,11
2006,6,3,22
2006,6,4,19
2006,7,1,9
2006,7,2,14
2006,7,3,19
2006,7,4,14
2006,8,1,8
2006,8,2,27
2006,8,3,13
2006,8,4,147
2006,9,1,26
2006,9,2,29
2006,9,3,26
2006,9,4,15
2006,10,1,9
2006,10,2,10
2006,10,3,6
2006,10,4,6
2006,11,1,5
2006,11,2,7
2006,11,3,4
2006,11,4,12
2006,12,1,16
2006,12,2,18
2006,12,3,13
2006,12,4,16
2007,1,1,11
2007,1,2,7
2007,1,3,27
2007,1,4,21
2007,2,1,15
2007,2,2,60
2007,2,3,11
2007,2,4,45
2007,3,1,19
2007,3,2,11
2007,3,3,49
2007,3,4,13
2007,4,1,6
2007,4,2,21
2007,4,3,14
2007,4,4,15
2007,5,1,17
2007,5,2,13
2007,5,3,9
2007,5,4,8
2007,6,1,20
2007,6,2,31
2007,6,3,17
2007,6,4,25
2007,7,1,30
2007,7,2,18
2007,7,3,9
2007,7,4,35
2007,8,1,17
2007,8,2,18
2007,8,3,23
2007,8,4,21
2007,9,1,6
2007,9,2,25
2007,9,3,14
2007,9,4,10
2007,10,1,11
2007,10,2,6
2007,10,3,13
2007,10,4,13
2007,11,1,9
2007,11,2,2
2007,11,3,4
2007,11,4,8
2007,12,1,12
2007,12,2,24
2007,12,3,17
2007,12,4,14
2008,1,1,16
2008,1,2,10
2008,1,3,22
2008,1,4,31
2008,2,1,26
2008,2,2,23
2008,2,3,33
2008,2,4,8
2008,3,1,30
2008,3,2,26
2008,3,3,17
2008,3,4,15
2008,4,1,20
2008,4,2,13
2008,4,3,12
2008,4,4,6
2008,5,1,9
2008,5,2,15
2008,5,3,13
2008,5,4,14
2008,6,1,5
2008,6,2,19
2008,6,3,36
2008,6,4,10
2008,7,1,21
2008,7,2,15
2008,7,3,14
2008,7,4,20
2008,8,1,11
2008,8,2,20
2008,8,3,46
2008,8,4,20
2008,9,1,17
2008,9,2,32
2008,9,3,9
2008,9,4,9
2008,10,1,12
2008,10,2,7
2008,10,3,4
2008,10,4,12
2008,11,1,1
2008,11,2,14
2008,11,3,5
2008,11,4,3
2008,12,1,7
2008,12,2,17
2008,12,3,29
2008,12,4,13
