year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,1
2003,3,1,5
2003,3,2,0
2003,3,3,13
2003,3,4,0
2003,4,1,2
2003,4,2,0
2003,4,3,0
2003,4,4,1
2003,5,1,1
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,0
2003,6,2,0
2003,6,3,0
2003,6,4,0
2003,7,1,4
2003,7,2,5
2003,7,3,0
2003,7,4,1
2003,8,1,5
2003,8,2,0
2003,8,3,1
2003,8,4,0
2003,9,1,0
2003,9,2,1
2003,9,3,0
2003,9,4,0
2003,10,1,0
2003,10,2,0
2003,10,3,1
2003,10,4,1
2003,11,1,2
2003,11,2,1
2003,11,3,1
2003,11,4,0
2003,12,1,4
2003,12,2,0
2003,12,3,0
2003,12,4,2
2004,1,1,3
2004,1,2,0
2004,1,3,1
2004,1,4,3
2004,2,1,4
2004,2,2,0
2004,2,3,0
2004,2,4,0
2004,3,1,2
2004,3,2,0
2004,3,3,0
2004,3,4,1
2004,4,1,0
2004,4,2,0
2004,4,3,0
2004,4,4,0
2004,5,1,0
2004,5,2,0
2004,5,3,7
2004,5,4,3
2004,6,1,0
2004,6,2,1
2004,6,3,6
2004,6,4,0
2004,7,1,0
2004,7,2,0
2004,7,3,6
2004,7,4,2
2004,8,1,1
2004,8,2,1
2004,8,3,1
2004,8,4,3
2004,9,1,1
2004,9,2,0
2004,9,3,6
2004,9,4,1
2004,10,1,0
2004,10,2,0
2004,10,3,0
2004,10,4,2
2004,11,1,3
2004,11,2,0
2004,11,3,0
2004,11,4,3
2004,12,1,1
2004,12,2,0
2004,12,3,0
2004,12,4,3
2005,1,1,4
2005,1,2,1
2005,1,3,1
2005,1,4,10
2005,2,1,2
2005,2,2,0
2005,2,3,0
2005,2,4,0
2005,3,1,0
2005,3,2,1
2005,3,3,0
2005,3,4,1
2005,4,1,1
2005,4,2,3
2005,4,3,0
2005,4,4,0
2005,5,1,2
2005,5,2,1
2005,5,3,2
2005,5,4,0
2005,6,1,2
2005,6,2,1
2005,6,3,3
2005,6,4,0
2005,7,1,2
2005,7,2,3
2005,7,3,1
2005,7,4,3
2005,8,1,0
2005,8,2,2
2005,8,3,3
2005,8,4,0
2005,9,1,0
2005,9,2,0
2005,9,3,3
2005,9,4,0
2005,10,1,0
2005,10,2,0
2005,10,3,0
2005,10,4,0
2005,11,1,0
2005,11,2,0
2005,11,3,1
2005,11,4,0
2005,12,1,1
2005,12,2,6
2005,12,3,0
2005,12,4,1
2006,1,1,3
2006,1,2,1
2006,1,3,0
2006,1,4,0
2006,2,1,1
2006,2,2,0
2006,2,3,3
2006,2,4,0
2006,3,1,2
2006,3,2,0
2006,3,3,1
2006,3,4,2
2006,4,1,0
2006,4,2,0
2006,4,3,1
2006,4,4,1
2006,5,1,1
2006,5,2,0
2006,5,3,1
2006,5,4,0
2006,6,1,1
2006,6,2,1
2006,6,3,1
2006,6,4,2
2006,7,1,0
2006,7,2,1
2006,7,3,5
2006,7,4,1
2006,8,1,1
2006,8,2,0
2006,8,3,1
2006,8,4,0
2006,9,1,0
2006,9,2,1
2006,9,3,2
2006,9,4,0
2006,10,1,1
2006,10,2,0
2006,10,3,0
2006,10,4,3
2006,11,1,1
2006,11,2,3
2006,11,3,0
2006,11,4,2
2006,12,1,3
2006,12,2,2
2006,12,3,4
2006,12,4,0
2007,1,1,2
2007,1,2,1
2007,1,3,3
2007,1,4,0
2007,2,1,2
2007,2,2,6
2007,2,3,1
2007,2,4,6
2007,3,1,2
2007,3,2,1
2007,3,3,1
2007,3,4,0
2007,4,1,0
2007,4,2,3
2007,4,3,1
2007,4,4,2
2007,5,1,0
2007,5,2,1
2007,5,3,0
2007,5,4,1
2007,6,1,1
2007,6,2,1
2007,6,3,2
2007,6,4,3
2007,7,1,0
2007,7,2,1
2007,7,3,3
2007,7,4,3
2007,8,1,1
2007,8,2,2
2007,8,3,5
2007,8,4,3
2007,9,1,1
2007,9,2,2
2007,9,3,3
2007,9,4,0
2007,10,1,1
2007,10,2,1
2007,10,3,0
2007,10,4,1
2007,11,1,0
2007,11,2,0
2007,11,3,1
2007,11,4,0
2007,12,1,0
2007,12,2,5
2007,12,3,2
2007,12,4,8
2008,1,1,2
2008,1,2,1
2008,1,3,1
2008,1,4,6
2008,2,1,12
2008,2,2,2
2008,2,3,2
2008,2,4,3
2008,3,1,0
2008,3,2,3
2008,3,3,1
2008,3,4,3
2008,4,1,4
2008,4,2,1
2008,4,3,1
2008,4,4,2
2008,5,1,1
2008,5,2,3
2008,5,3,0
2008,5,4,3
2008,6,1,5
2008,6,2,7
2008,6,3,0
2008,6,4,0
2008,7,1,0
2008,7,2,3
2008,7,3,5
2008,7,4,4
2008,8,1,5
2008,8,2,0
2008,8,3,1
2008,8,4,0
2008,9,1,1
2008,9,2,0
2008,9,3,0
2008,9,4,0
2008,10,1,0
2008,10,2,1
2008,10,3,0
2008,10,4,0
2008,11,1,0
2008,11,2,0
2008,11,3,0
2008,11,4,0
2008,12,1,0
2008,12,2,0
2008,12,3,2
2008,12,4,2
